task_name,layer,score
irregular_past_participle_verbs,4,0.949
irregular_past_participle_verbs,5,0.946
irregular_past_participle_verbs,6,0.959
irregular_past_participle_verbs,7,0.951
irregular_past_participle_verbs,8,0.936
irregular_past_participle_verbs,9,0.946
irregular_past_participle_verbs,10,0.943
irregular_past_participle_verbs,11,0.947
irregular_past_participle_verbs,12,0.861
expletive_it_object_raising,0,0.715
expletive_it_object_raising,1,0.755
expletive_it_object_raising,2,0.689
expletive_it_object_raising,3,0.586
expletive_it_object_raising,4,0.65
expletive_it_object_raising,5,0.664
expletive_it_object_raising,6,0.656
expletive_it_object_raising,7,0.669
expletive_it_object_raising,8,0.653
expletive_it_object_raising,9,0.684
expletive_it_object_raising,10,0.758
expletive_it_object_raising,11,0.767
expletive_it_object_raising,12,0.587
wh_questions_subject_gap_long_distance,0,1
wh_questions_subject_gap_long_distance,1,1
wh_questions_subject_gap_long_distance,2,0.999
wh_questions_subject_gap_long_distance,3,0.987
wh_questions_subject_gap_long_distance,4,0.97
wh_questions_subject_gap_long_distance,5,0.906
wh_questions_subject_gap_long_distance,6,0.853
wh_questions_subject_gap_long_distance,7,0.837
wh_questions_subject_gap_long_distance,8,0.899
wh_questions_subject_gap_long_distance,9,0.889
wh_questions_subject_gap_long_distance,10,0.912
wh_questions_subject_gap_long_distance,11,0.915
wh_questions_subject_gap_long_distance,12,0.642
superlative_quantifiers_1,0,0.509
superlative_quantifiers_1,1,0.51
superlative_quantifiers_1,2,0.759
superlative_quantifiers_1,3,0.983
superlative_quantifiers_1,4,0.677
superlative_quantifiers_1,5,0.356
superlative_quantifiers_1,6,0.401
superlative_quantifiers_1,7,0.601
superlative_quantifiers_1,8,0.747
superlative_quantifiers_1,9,0.85
superlative_quantifiers_1,10,0.802
superlative_quantifiers_1,11,0.745
superlative_quantifiers_1,12,0.261
existential_there_object_raising,0,0.799
existential_there_object_raising,1,0.749
existential_there_object_raising,2,0.706
existential_there_object_raising,3,0.647
existential_there_object_raising,4,0.72
existential_there_object_raising,5,0.75
existential_there_object_raising,6,0.739
existential_there_object_raising,7,0.75
existential_there_object_raising,8,0.666
existential_there_object_raising,9,0.683
existential_there_object_raising,10,0.74
existential_there_object_raising,11,0.759
existential_there_object_raising,12,0.584
tough_vs_raising_1,0,0.44
tough_vs_raising_1,1,0.464
tough_vs_raising_1,2,0.66
tough_vs_raising_1,3,0.357
tough_vs_raising_1,4,0.144
tough_vs_raising_1,5,0.181
tough_vs_raising_1,6,0.294
tough_vs_raising_1,7,0.743
tough_vs_raising_1,8,0.587
tough_vs_raising_1,9,0.488
tough_vs_raising_1,10,0.616
tough_vs_raising_1,11,0.605
tough_vs_raising_1,12,0.406
principle_A_case_2,0,0.373
principle_A_case_2,1,0.532
principle_A_case_2,2,0.506
principle_A_case_2,3,0.559
principle_A_case_2,4,0.895
principle_A_case_2,5,0.956
principle_A_case_2,6,0.969
principle_A_case_2,7,0.967
principle_A_case_2,8,0.934
principle_A_case_2,9,0.923
principle_A_case_2,10,0.963
